train/policy_gradient_loss,eval/mean_ep_length,train/clip_range,train/loss,train/explained_variance,time/total_timesteps,train/clip_fraction,train/entropy_loss,eval/mean_reward,train/std,eval/success_rate,train/approx_kl,train/value_loss,train/learning_rate,train/n_updates,reward/env_0,pose_reward/env_0,success_rate/env_0,distance_reward/env_0,pose_reward/env_1,reward/env_1,distance_reward/env_1,success_rate/env_1,distance_reward/env_2,reward/env_2,pose_reward/env_2,success_rate/env_2,pose_reward/env_3,reward/env_3,distance_reward/env_3,success_rate/env_3,success_rate/env_4,reward/env_4,pose_reward/env_4,distance_reward/env_4,reward/env_5,distance_reward/env_5,success_rate/env_5,pose_reward/env_5,reward/env_6,distance_reward/env_6,pose_reward/env_6,success_rate/env_6,reward/env_7,distance_reward/env_7,success_rate/env_7,pose_reward/env_7
,,,,,,,,,,,,,,,,,,,,,,,-0.8296951734763044,-19759.841214150707,-2011.9921738516443,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-2183.0002947263,-20785.29233954054,-0.8967618637810836,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-21641.47238371606,-2327.5064680964383,-0.4205958562355435,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20870.92062694107,-2.0906397966261303,0.0,-2202.077798026869,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18422.413312716948,-0.7317274842003066,-1786.5188246352877,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24953.287803569412,-1.797133564430698,0.0,-2875.099167030468
-0.002191752161888871,102.0,0.2,160028.5,6.556510925292969e-07,96000,0.02479248046875,-9.863687114417553,-3036.1556540100005,0.9914113283157349,0.0,0.0041542957,429622.92280273436,0.0003,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.002124320947768865,,0.2,137034.640625,-1.1920928955078125e-06,,0.023883056640625,-9.872303287684918,,0.9910577535629272,,0.0041797617,314612.87307128904,0.0003,60,-21112.553418071824,-2243.850597330401,0.0,-0.2566390148934698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-2159.6564292920293,-20646.686913116755,-0.9730562274325983,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-0.07703501149098985,-18142.160348879446,-1757.2980231350882,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-2020.0082503437004,-19822.802647179167,-0.9738575194993396,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-18542.706956376023,-1811.204063352236,-0.42876271042311664,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22504.174763380764,-0.4822848100359586,0.0,-2474.395175753439,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20225.981485956967,-1.7686420043040498,-2092.4099389885246,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21839.820993285866,-0.8430169802741805,0.0,-2369.9754819007057
-0.0025997715296398384,102.0,0.2,316172.3125,2.384185791015625e-07,120000,0.026568603515625,-9.852825193107128,-3324.8724057900004,0.9869871735572815,0.0,0.00426138,462023.6366210937,0.0003,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-23253.204922050783,-2609.2721974947717,0.0,-0.9436228470163761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-2194.3022948805083,-20725.68005174811,0.00728625582313623,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-0.8763720656128523,-20967.28521382606,-2230.8528302387267,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-2834.8589194407728,-24625.169238560797,-1.0176203193632494,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-20818.342134447965,-2204.304864753903,-1.267157654093966,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24152.351088020856,-0.9129852440335587,0.0,-2762.827196092773,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19330.23311578182,-1.3227754512013326,-1961.8977438457707,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17177.894777457575,-0.24641853349180248,0.0,-1593.2510443761064
-0.0017030607617925853,102.0,0.2,179829.484375,5.960464477539063e-08,144000,0.018292236328125,-9.836444516479968,-2121.89407183,0.9857840538024902,0.0,0.0036634123,357342.13479003904,0.0003,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0011176356558280532,,0.2,146557.75,1.1920928955078125e-07,,0.011187744140625,-9.825455245375633,,0.9840460419654846,,0.0034704853,396935.54462890624,0.0003,90,-22815.6216071025,-2534.5647864973635,0.0,-1.5538146864035398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-2281.071965469517,-21268.985012976034,-1.2738700264882608,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-1.3717930576668758,-20910.584030702834,-2219.240545392799,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-2328.1154732195364,-21554.006637733335,-0.4006330693521842,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-20534.690322533977,-2157.510587397153,-1.7861330251735663,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20511.14682521263,-0.5879697206471776,0.0,-2150.7848344814624,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20027.688636401894,-0.46025705566161634,-2079.169515677984,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20687.493906397907,-2.344013670939516,0.0,-2186.08663739538
-0.002099065390211763,102.0,0.2,184884.921875,2.980232238769531e-07,168000,0.02100830078125,-9.811529180407524,-2707.00783467,0.9818331599235535,0.0,0.004249025,341996.91796875,0.0003,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-20521.148956710498,-2162.064902215159,0.0,-1.4749239032614636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-2390.6337315180795,-21987.32905755165,-1.26944474052017,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-2.0595959637845933,-18235.13359802917,-1776.8110037077415,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1693.9584071178256,-17795.688713932643,-0.5047118709510676,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-17303.90152191364,-1616.6399470859296,-2.3586398996791886,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22891.140133513694,-1.144246584908448,0.0,-2549.894109000713,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20985.736074924476,-1.40623836662103,-2232.5647741207995,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18099.755835995704,-0.5276513836079171,0.0,-1751.7799879490024
-0.0017784057483368088,102.0,0.2,133675.375,0.0,192000,0.017840576171875,-9.783521001040935,-2094.5658519400004,0.9768521785736084,0.0,0.004045482,266600.8699951172,0.0003,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.002173387137008831,,0.2,152801.09375,3.5762786865234375e-07,,0.0227783203125,-9.766572822630405,,0.9766268730163574,,0.0041586114,333793.4409423828,0.0003,120,-15579.433573476417,-1331.1025014900092,0.0,0.6819059106087779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-2742.3557299097447,-24041.7762653201,-0.6219809769345093,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-0.3215638055817888,-18654.189949118,-1847.8917610474118,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1978.2856687125006,-19467.604886331967,-0.16347900949245905,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-18553.476441591352,-1826.1019598058267,-0.4924471260691498,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19109.98004522817,0.5095062097967875,0.0,-1915.854513747815,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23230.020873041656,-0.05076556428676111,-2612.3010466093056,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19708.20227386653,-0.27472203889174807,0.0,-2014.1073236055418
-0.0024384136449953075,102.0,0.2,190704.71875,0.0,216000,0.030462646484375,-9.742971627414226,-2443.87784585,0.9706259369850159,0.0,0.0048428406,402015.32993164065,0.0003,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-22130.82792742336,-2436.1423243179966,0.0,-0.3439969192285719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-2330.6716737468482,-21481.646438493077,-0.11773266866764898,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.4726329870311353,-18703.97221862302,-1862.98300275753,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1932.7618596400716,-19153.2482047178,1.0388255204470023,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-19583.721795336656,-2002.7036200385453,1.2349874824481313,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24265.38050211612,0.14712258334418774,0.0,-2791.7255396026926,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22472.210694103218,0.7051110469805137,-2488.0885600641773,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20406.34053682513,0.8048076545533076,0.0,-2147.2098971253977
-0.002218841604917543,102.0,0.2,175230.15625,0.0,240000,0.02159423828125,-9.711350095272063,-2273.72961136,0.9675626754760742,0.0,0.0042459513,334826.7555175781,0.0003,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.002841467315738555,,0.2,159570.125,0.0,,0.03310546875,-9.677091874182224,,0.9621721506118774,,0.0051911143,308340.72626953124,0.0003,150,-19830.534870778312,-2056.695730293779,0.0,-1.075081502612035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-2503.9813747736866,-22560.647018590324,-0.8081283247055526,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-0.294558828614332,-18695.791428161006,-1855.0190125315605,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-2188.8748988479388,-20596.430504973912,0.7881480189486572,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-20889.88582635293,-2222.7314746367765,1.0688369112790579,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22379.16945354439,-0.7957508009802498,0.0,-2473.9141581230983,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21377.01679696825,-0.33285361515825423,-2312.0182792128776,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19674.3210284925,0.5498646079635189,0.0,-2036.4517026900467
-0.0021012568075093442,102.0,0.2,128537.8125,0.0,264000,0.0246826171875,-9.653811049461364,-1945.2881428900002,0.9604030847549438,0.0,0.0041261585,306582.78630371095,0.0003,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-18159.801860775267,-1771.4542075728693,0.0,-0.6944358896731474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-1596.3595107657798,-17112.58141014731,0.24760907456339634,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-1.8820137329544384,-17038.59368874088,-1584.0652677238552,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-2022.0495648933004,-19674.350286739216,-0.6904828965717907,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-19837.53897972792,-2053.326382723202,-0.4451138981198773,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20059.372582580276,-0.3670785157027284,0.0,-2093.710018580998,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20666.91513556704,-0.9132110634127282,-2190.587644864431,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19122.260017205183,0.829508253727445,0.0,-1930.8878444545824
-0.0017532339094032067,102.0,0.2,116234.578125,0.0,288000,0.017572021484375,-9.651269425451755,-1902.59554465,0.9605153799057007,0.0,0.0037715347,224878.64731445312,0.0003,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.002800196405951283,,0.2,183587.125,-1.1920928955078125e-07,,0.0300537109375,-9.642915546894073,,0.9590247273445129,,0.004724047,317507.5054199219,0.0003,180,-19304.763582180265,-1973.1645100020585,0.0,0.022246305355192193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-1743.9602333832183,-17887.99397313714,0.7795711936993899,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-0.7575388257074199,-21555.31445191434,-2346.3098698266726,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-2720.770502366679,-23793.30032788419,0.37211438597988805,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-22941.99451880969,-2577.764387356379,-0.08303244523372717,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18872.6279912759,-0.01407703854909809,0.0,-1892.1055881741056,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21842.558686925837,0.8339623944501973,-2401.275410215422,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18480.99440136082,-0.30065443076687026,0.0,-1821.213412462697
-0.002235214743996039,102.0,0.2,153567.9375,-1.1920928955078125e-07,312000,0.020623779296875,-9.621455046534539,-2390.2484880300003,0.9549415707588196,0.0,0.003942101,306712.88686523435,0.0003,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-16922.561610695717,-1577.162246204706,0.0,0.3869777554119159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-1834.5645352508225,-18420.19314874267,0.6840104603752456,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,-0.751862879947862,-22175.563316414184,-2461.523689855741,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1917.0104466212392,-18965.331074706824,-1.2263991632314297,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-22585.489219266026,-2522.059878000311,0.6300081226407325,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23338.842236226243,-0.55045418714139,0.0,-2653.438251850564,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17840.48727765875,-0.03726968169215928,-1737.3922765947661,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18877.314705541252,-1.26833416263809,0.0,-1903.7991167609057
-0.0008581517082348,102.0,0.2,175049.59375,0.0,336000,0.0101318359375,-9.599876834452152,-2358.0805783400006,0.9528405666351318,0.0,0.003250784,312311.5934326172,0.0003,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0021010965036111886,,0.2,147457.828125,-1.1920928955078125e-07,,0.02178955078125,-9.583462339639663,,0.9504843354225159,,0.0043722154,272352.0346923828,0.0003,210,-17710.22192904834,-1715.893821323284,0.0,-1.158166851436597,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-2260.922201677422,-21023.87660601557,-0.4055659918534624,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1.1288700831059553,-17493.28730108276,-1687.3584202635711,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1582.6405464203478,-16908.34459639332,-0.2652196451991967,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-21623.91266314907,-2372.941592884736,-0.22551764011065753,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20138.470696009837,-0.09870318559007933,0.0,-2122.1614128160386,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20837.08128641741,-0.9516961431424346,-2242.2435182597537,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19867.446210888455,-0.447790864362262,0.0,-2068.1415776170534
,102.0,,,,360000,,,-2586.44237491,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0033616072236327455,,0.2,158761.53125,0.0,,0.0415283203125,-9.5555708527565,,0.9459964632987976,,0.0049228766,302641.38342285156,0.0003,220,-26994.618487310643,-3269.1485462752407,0.0,1.6971317234592544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-2106.800181613904,-20031.47506677876,0.872670484105231,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1.6049398727341022,-20610.94616352814,-2203.944300460758,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1635.1790851574444,-17231.92947712601,1.6758389697769287,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-17201.75523490663,-1637.7533008358123,1.6124283513726287,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21467.359984974468,1.5674314213817129,0.0,-2340.642428917131,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17951.695253799455,2.2692141338074974,-1760.066756433716,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21780.547505169576,1.7267649446038935,0.0,-2391.6663491395348
-0.0017737567904987372,102.0,0.2,187753.515625,0.0,384000,0.021954345703125,-9.534768386185169,-2060.3262053999997,0.9440003633499146,0.0,0.0037875406,303486.0288818359,0.0003,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0018008752424066188,,0.2,115369.578125,0.0,,0.018609619140625,-9.516488246619701,,0.9406662583351135,,0.0036930912,211483.42333984375,0.0003,240,-18267.943026352248,-1815.2610403313597,0.0,1.5888692726489997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-1972.3758794896205,-19208.836554378813,1.554787093156519,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1.9163342147198577,-16967.91177025248,-1590.5832959234683,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1770.0236509204267,-17984.9637008092,1.1813674522224942,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-17469.952110603255,-1682.7781099620152,1.937758194804353,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19099.855999628875,1.3135638863171684,0.0,-1941.6378971578022,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18835.952002634724,-0.8464226680487417,-1913.4939111043989,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19410.921525378115,2.276034142243913,0.0,-2011.6112883719243
,102.0,,,,408000,,,-2099.7956574000004,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0038162696295330535,,0.2,104679.8828125,-1.1920928955078125e-07,,0.04478759765625,-9.50826131105423,,0.9416605830192566,,0.0054818,243510.98161621095,0.0003,250,-18372.374782690356,-1843.6652339135007,0.0,0.9211034651052328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-1494.241381616718,-16273.679273949087,1.2798359585326968,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2.0693583460820997,-21537.893533746996,-2372.2332806372556,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-2336.266724309005,-21349.485562521233,2.1707972221193597,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-15667.998337859142,-1394.092180713097,1.7441244032392302,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21876.0462106842,1.2422758336520345,0.0,-2297.931644281019,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17373.102629953275,1.5676480384273697,-1676.2664196973114,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17495.143726411596,1.7321386558871006,0.0,-1694.1044263911576
-0.002097414522359031,102.0,0.2,115085.78125,1.1920928955078125e-07,432000,0.02532958984375,-9.50719636231661,-2228.60369267,0.9409979581832886,0.0,0.0040498413,241487.48369140626,0.0003,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
